2023-12-09 23:28:31,359 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:28:31,378 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:28:31,378 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:29:00,757 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:29:00,845 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:29:00,845 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:29:22,049 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:29:22,164 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:29:22,164 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:30:04,640 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:30:04,973 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:30:04,973 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:32:18,256 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:32:18,267 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:32:18,268 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:32:27,926 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:32:27,958 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:32:27,966 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:32:37,165 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:32:37,583 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:32:37,583 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:32:41,428 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:32:41,438 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:32:41,438 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:32:54,988 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:32:55,021 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:32:55,021 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:32:59,500 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:32:59,654 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:32:59,654 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
2023-12-09 23:33:03,654 INFO    MainThread:3588 [wandb_init.py:_resume_backend():440] resuming backend
2023-12-09 23:33:03,727 INFO    MainThread:3588 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-12-09 23:33:03,727 INFO    MainThread:3588 [wandb_init.py:_pause_backend():435] pausing backend
